Crops,States,Season,Area-2020-21(Lakh ha),Area-2021-22(Lakh ha),Area-2022-23(Lakh ha),Area-2023-24(Lakh ha),Area-2024-25(Lakh ha),Production-2020-21(Lakh Tonnes),Production-2021-22(Lakh Tonnes),Production-2022-23(Lakh Tonnes),Production-2023-24(Lakh Tonnes),Production-2024-25(Lakh Tonnes),Yield-2020-21(Kg/ha),Yield-2021-22(Kg/ha),Yield-2022-23(Kg/ha),Yield-2023-24(Kg/ha),Yield-2024-25(Kg/ha)
Maize,Odisha,Rabi,0.03,0.04,,,0.18,0.07,0.1,,,0.82,2614.0,2697.0,,,4440.0
Maize,Odisha,Summer,,,0.03,0.08,0.08,,,0.07,0.28,0.28,,,2480.0,3445.0,3344.0
Maize,Punjab,Kharif,1.08,1.05,0.93,0.95,0.86,3.95,4.13,4.1,3.62,3.7,3665.0,3930.0,4393.0,3827.0,4299.0
Maize,Rajasthan,Kharif,9.76,9.36,9.41,8.62,9.7,21.87,19.55,20.92,20.63,24.95,2240.0,2089.0,2224.0,2394.0,2571.0
Maize,Rajasthan,Rabi,0.17,0.16,0.16,0.19,0.37,0.83,0.9,0.87,1.07,2.0,4901.0,5685.0,5406.0,5699.0,5455.0
Maize,Rajasthan,Summer,,,,,,,,,,,,,1723.0,1436.0,
Maize,Sikkim,Kharif,0.38,0.38,0.38,0.3,,0.68,0.68,0.67,0.53,,1770.0,1773.0,1787.0,1793.0,
Maize,Tamil Nadu,Kharif,2.26,2.01,2.23,2.4,2.13,16.42,16.22,17.4,17.5,12.75,7276.0,8050.0,7797.0,7283.0,5999.0
Maize,Tamil Nadu,Rabi,1.75,1.99,1.85,1.92,2.49,9.23,12.05,11.39,9.74,12.67,5287.0,6068.0,6141.0,5071.0,5082.0
Maize,Tamil Nadu,Summer,,,0.18,0.23,0.21,,,1.11,1.15,1.07,,,6141.0,5071.0,5082.0
Maize,Telangana,Kharif,0.86,2.89,2.51,2.16,2.12,4.0,13.17,11.43,9.4,10.21,4646.0,4558.0,4554.0,4350.0,4814.0
Maize,Telangana,Rabi,1.73,1.23,2.64,2.74,3.01,13.57,9.09,17.19,18.39,19.91,7844.0,7386.0,6511.0,6712.0,6605.0
Maize,Tripura,Kharif,0.14,0.15,0.11,0.11,,0.24,0.27,0.22,0.22,,1692.0,1842.0,1964.0,1964.0,
Maize,Tripura,Rabi,0.07,0.05,0.04,0.04,,0.18,0.13,0.13,0.13,,2491.0,2637.0,3505.0,3505.0,
Maize,Uttar Pradesh,Kharif,7.09,6.91,8.32,8.39,3.01,16.37,14.67,17.83,18.31,6.59,2309.0,2123.0,2143.0,2182.0,2189.0
Maize,Uttar Pradesh,Rabi,0.64,0.56,0.1,0.15,0.3,1.81,1.54,0.28,0.43,0.87,2828.0,2750.0,2822.0,2875.0,2911.0
Maize,Uttar Pradesh,Summer,,,0.49,2.5,3.06,,,1.41,7.95,9.57,,,2878.0,3178.0,3129.0
Maize,Uttarakhand,Kharif,0.2,0.21,0.17,0.17,0.17,0.41,0.52,0.39,0.4,0.46,2074.0,2486.0,2291.0,2425.0,2724.0
Maize,Uttarakhand,Summer,,,,,0.01,,,0.01,0.01,0.03,,,3000.0,3220.0,3225.0
Maize,West Bengal,Kharif,0.52,0.52,0.52,0.5,0.34,1.63,1.58,1.9,2.0,1.54,3132.0,3046.0,3633.0,3974.0,4547.0
Maize,West Bengal,Rabi,3.09,3.09,1.67,2.0,2.05,22.73,23.67,10.45,13.76,14.5,7362.0,7652.0,6247.0,6872.0,7074.0
Maize,West Bengal,Summer,,,1.43,1.42,1.63,,,10.41,10.28,11.85,,,7300.0,7239.0,7270.0
Maize,Others,Kharif,,,,,4.37,,,,,8.63,,,,,1973.0
Maize,Others,Rabi,,,,,0.28,,,,,0.59,,,,,2138.0
Maize,Others,Summer,,,,,0.17,,,,,0.38,,,,,2280.0
Barley,Arunachal Pradesh,Rabi,,,,,,,,,,,1000.0,,,,
Barley,Bihar,Rabi,0.08,0.07,0.07,0.09,0.08,0.14,0.12,0.12,0.15,0.15,1903.0,1779.0,1727.0,1641.0,1914.0
Barley,Chhattisgarh,Rabi,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,,694.0,818.0,922.0,1001.0,777.0
Barley,Delhi,Rabi,,,,,,,,,,,3000.0,4000.0,4000.0,4000.0,
Barley,Haryana,Rabi,0.09,0.03,0.13,0.12,0.12,0.31,0.11,0.46,0.46,0.46,3343.0,3237.0,3573.0,3712.0,3893.0
Barley,Himachal Pradesh,Rabi,0.2,0.18,0.17,0.17,0.18,0.32,0.31,0.27,0.3,0.29,1573.0,1733.0,1579.0,1780.0,1680.0
